# WaniKani - Kanji
# Generated on March 23, 2017 23:00 PM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_浜;kanji;浜;beach;;ひん;はま;kunyomi;;28
k_七;kanji;七;seven;;しち;なな.*;onyomi;;1
k_二;kanji;二;two;;に;ふた.*;onyomi;;1
k_加;kanji;加;add;;か;くわ.える;onyomi;;19
k_潔;kanji;潔;pure;;けつ;いさぎよ.い;onyomi;;28
k_三;kanji;三;three;;さん;み.*;onyomi;;1
k_山;kanji;山;mountain;;さん;やま;onyomi;;1
k_衆;kanji;衆;populace;;しゅう;None;onyomi;;28
k_女;kanji;女;woman;;じょ;おんな, め;onyomi;;1
k_橋;kanji;橋;bridge;;きょう;はし;kunyomi;;13
k_正;kanji;正;correct;;せい, しょう;ただ.しい, まさ.に;onyomi;;2
k_巨;kanji;巨;giant;;きょ;None;onyomi;;28
k_替;kanji;替;replace, exchange;;たい;か;kunyomi;;25
k_煙;kanji;煙;smoke;;えん;けむ, けむり;onyomi;;18
k_販;kanji;販;sell;;はん;None;onyomi;;24
k_重;kanji;重;heavy;;じゅう, ちょう;おも.い, かさ, え;onyomi;;9
k_階;kanji;階;floor, story, storey;;かい;;onyomi;;12
k_花;kanji;花;flower;;か, け;はな;kunyomi;;4
k_公;kanji;公;public;;こう;N/A;onyomi;;3
k_応;kanji;応;respond;;おう;None;onyomi;;22
k_立;kanji;立;stand;;りつ;た.つ;onyomi;;2
k_笛;kanji;笛;flute;;てき;ふえ;onyomi;;19
k_玉;kanji;玉;ball;;ぎょく;たま;kunyomi;;2
k_切;kanji;切;cut;;せつ;き.る;onyomi;;3
k_量;kanji;量;quantity, amount;;りょう;はか.る;onyomi;;24
k_竹;kanji;竹;bamboo;;;たけ;kunyomi;;4
k_寺;kanji;寺;temple;;じ;てら;kunyomi;;15
k_戸;kanji;戸;door;;こ;と;kunyomi;;3
k_婦;kanji;婦;wife;;ふ;None;onyomi;;28
k_逆;kanji;逆;reverse;;ぎゃく;さか.らう;onyomi;;28
k_少;kanji;少;few, a little;;しょう;すこ.し;onyomi;;3
k_神;kanji;神;god;;しん;かみ;onyomi;;11
k_肉;kanji;肉;meat;;にく;None;onyomi;;5
k_森;kanji;森;forest, woods;;しん;もり;kunyomi;;8
k_母;kanji;母;mother, mom, mum;;ぼ;はは;kunyomi;;3
k_矢;kanji;矢;arrow;;し;や;kunyomi;;3
k_史;kanji;史;history;;し;None;onyomi;;19
k_四;kanji;四;four;;し;よん, よ;kunyomi;;2
k_虫;kanji;虫;insect, bug;;ちゅう, き;むし;kunyomi;;4
k_農;kanji;農;farming, agriculture;;のう;;onyomi;;10
k_皿;kanji;皿;plate, dish;;;さら;kunyomi;;4
k_皮;kanji;皮;skin;;ひ;かわ;kunyomi;;4
k_飯;kanji;飯;meal, food;;はん;めし;onyomi;;15
k_手;kanji;手;hand;;しゅ;て;kunyomi;;2
k_資;kanji;資;resources;;し;None;onyomi;;21
k_短;kanji;短;short;;たん;みじか.い;onyomi;;12
k_夏;kanji;夏;summer;;げ, か, が;なつ;kunyomi;;7
k_町;kanji;町;town;;ちょう;まち;onyomi;;4
k_糸;kanji;糸;thread;;し;いと;kunyomi;;4
k_易;kanji;易;easy;;い, えき;やさ.しい;onyomi;;19
k_耳;kanji;耳;ear;;じ;みみ;kunyomi;;4
k_小;kanji;小;small, little;;しょう;ちい, こ, お;onyomi;;2
k_大;kanji;大;big, large;;たい, だい;おお;onyomi;;1
k_不;kanji;不;not;;ふ;;onyomi;;4
k_成;kanji;成;become;;せい;な.る;onyomi;;11
k_練;kanji;練;practice;;れん;ね;onyomi;;13
k_凍;kanji;凍;frozen;;とう;こお.る, こご.える;onyomi;;28
k_希;kanji;希;wish;;き;まれ;onyomi;;14
k_鳴;kanji;鳴;chirp;;めい;な;kunyomi;;10
k_西;kanji;西;west;;せい, さい;にし;onyomi;;5
k_声;kanji;声;voice;;せい;こえ;kunyomi;;5
k_協;kanji;協;cooperation;;きょう;None;onyomi;;14
k_目;kanji;目;eye;;もく;め;kunyomi;;2
k_亡;kanji;亡;deceased, death;;ぼう;な.く;onyomi;;6
k_収;kanji;収;obtain;;しゅう;おさ.める;onyomi;;23
k_金;kanji;金;gold;;きん;かね;onyomi;;5
k_谷;kanji;谷;valley;;こく;たに;kunyomi;;5
k_走;kanji;走;run;;そう;はし.る;onyomi;;5
k_雨;kanji;雨;rain;;う;あめ, あま;kunyomi;;5
k_交;kanji;交;mix;;こう;まじ, ま, か;onyomi;;5
k_林;kanji;林;forest, woods;;りん;はやし;kunyomi;;5
k_安;kanji;安;relax, cheap;;あん;やす.い;onyomi;;6
k_季;kanji;季;seasons;;き;None;onyomi;;14
k_固;kanji;固;hard;;こ;かた.い;onyomi;;14
k_車;kanji;車;car;;しゃ;くるま;onyomi;;4
k_両;kanji;両;both;;りょう;;onyomi;;6
k_父;kanji;父;father, dad;;ふ;ちち;kunyomi;;3
k_集;kanji;集;collect, gather;;しゅう;あつ.まる;onyomi;;10
k_違;kanji;違;different;;い;ちが;kunyomi;;24
k_回;kanji;回;times, revolve;;かい;まわ.＊;onyomi;;5
k_明;kanji;明;bright;;めい;あ, あか.るい, あき.らか;onyomi;;6
k_店;kanji;店;shop, store;;てん;みせ;onyomi;;6
k_周;kanji;周;circumference;;しゅう;まわ.り;onyomi;;14
k_暗;kanji;暗;dark;;あん;くら.い, くれ.る;onyomi;;13
k_味;kanji;味;flavor, taste, flavour;;み;あじ;onyomi;;11
k_南;kanji;南;south;;なん;みなみ;onyomi;;6
k_謝;kanji;謝;apologize, apologise;;しゃ;あやま.る;onyomi;;13
k_科;kanji;科;science;;か;;onyomi;;6
